Blood Bat	units/bats/bloodbat-se-3.png
Dread Bat	units/bats/dreadbat-se-3.png
Vampire Bat	units/bats/bat-se-3.png
Boat	units/transport/boat.png
Galleon	units/transport/galleon.png
Pirate Galleon	units/transport/pirate-galleon.png
Transport Galleon	units/transport/transport-galleon.png
Drake Arbiter	units/drakes/arbiter.png
Armageddon Drake	units/drakes/armageddon.png
Drake Blademaster	units/drakes/blademaster.png
Drake Burner	units/drakes/burner.png
Drake Clasher	units/drakes/clasher.png
Drake Enforcer	units/drakes/enforcer.png
Drake Fighter	units/drakes/fighter.png
Fire Drake	units/drakes/fire.png
Drake Flameheart	units/drakes/flameheart.png
Drake Flare	units/drakes/flare.png
Drake Glider	units/drakes/glider.png
Hurricane Drake	units/drakes/hurricane.png
Inferno Drake	units/drakes/inferno.png
Sky Drake	units/drakes/sky.png
Drake Thrasher	units/drakes/slasher.png
Drake Warden	units/drakes/warden.png
Drake Warrior	units/drakes/warrior.png
Dune Alchemist	units/dunefolk/herbalist/alchemist.png
Dune Apothecary	units/dunefolk/herbalist/apothecary.png
Dune Blademaster	units/dunefolk/soldier/blademaster.png
Dune Burner	units/dunefolk/burner/burner.png
Dune Captain	units/dunefolk/soldier/captain.png
Dune Cataphract	units/dunefolk/rider/cataphract.png
Dune Explorer	units/dunefolk/rover/explorer.png
Dune Falconer	units/dunefolk/skirmisher/falconer.png
Dune Firetrooper	units/dunefolk/burner/firetrooper.png
Dune Harrier	units/dunefolk/skirmisher/harrier.png
Dune Herbalist	units/dunefolk/herbalist/herbalist.png
Dune Horse Archer	units/dunefolk/rider/horse-archer.png
Dune Luminary	units/dunefolk/herbalist/luminary.png
Dune Marauder	units/dunefolk/rider/marauder.png
Dune Paragon	units/dunefolk/soldier/paragon.png
Dune Raider	units/dunefolk/rider/raider.png
Dune Rider	units/dunefolk/rider/rider.png
Dune Rover	units/dunefolk/rover/rover.png
Dune Scorcher	units/dunefolk/burner/scorcher.png
Dune Skirmisher	units/dunefolk/skirmisher/skirmisher.png
Dune Sky Hunter	units/dunefolk/skirmisher/sky_hunter.png
Dune Soldier	units/dunefolk/soldier/soldier.png
Dune Spearguard	units/dunefolk/soldier/spearguard.png
Dune Spearmaster	units/dunefolk/soldier/spearmaster.png
Dune Strider	units/dunefolk/skirmisher/strider.png
Dune Sunderer	units/dunefolk/rider/sunderer.png
Dune Swordsman	units/dunefolk/soldier/swordsman.png
Dune Warmaster	units/dunefolk/soldier/warmaster.png
Dune Wayfarer	units/dunefolk/rover/wayfarer.png
